alpha_fraud,alpha_legit,month,fraud_coverage,genuine_exclusion_rate,approve_share,review_share,verify_share,n,n_fraud,fraud_caught,fpr_ratio,fpr_under_cut,fpr_over_cut,cost_total,cost_per_n
0.05,0.01,6,0.9593103448275863,0.016004797691111152,0.4938706456623031,0.486308335182309,0.019821019155387917,108168.0,1450.0,1391.0,0.7624950828894577,0.471691982779628,0.6186164256852149,28149.08290806893,10000.0
0.05,0.01,7,0.9530812324929971,0.013037782319341823,0.5396879485352581,0.4428611257395991,0.017450925725142757,96843.0,1428.0,1361.0,0.7344397118606572,0.43284515306735927,0.5893542329986121,26068.99827555941,10000.0
0.05,0.02,6,0.9593103448275863,0.028832999119173898,0.4938706456623031,0.47220065083943497,0.033928703498261964,108168.0,1450.0,1391.0,0.7624950828894577,0.471691982779628,0.6186164256852149,28991.476222172918,10000.0
0.05,0.02,7,0.9530812324929971,0.02380128910548656,0.5396879485352581,0.43060417376578586,0.029707877698956043,96843.0,1428.0,1361.0,0.7344397118606572,0.43284515306735927,0.5893542329986121,26761.769048872913,10000.0
0.05,0.05,6,0.9593103448275863,0.06585580689293277,0.4938706456623031,0.4334276310923748,0.07270172324532209,108168.0,1450.0,1391.0,0.7624950828894577,0.471691982779628,0.6186164256852149,31480.937060868284,10000.0
0.05,0.05,7,0.9530812324929971,0.05580883508882251,0.5396879485352581,0.3966626395299609,0.06364941193478103,96843.0,1428.0,1361.0,0.7344397118606572,0.43284515306735927,0.5893542329986121,28897.08084218787,10000.0
0.1,0.01,6,0.9227586206896552,0.016004797691111152,0.6343465719991125,0.3458324088454996,0.019821019155387917,108168.0,1450.0,1338.0,0.6746953308523675,0.32767443749492325,0.4856628207000633,23591.820131647066,10000.0
0.1,0.01,7,0.9068627450980392,0.013037782319341823,0.6717264025278027,0.3108226717470545,0.017450925725142757,96843.0,1428.0,1295.0,0.6642004657547477,0.30013467041819974,0.4518736223365173,23212.312712328203,10000.0
0.1,0.02,6,0.9227586206896552,0.028832999119173898,0.6343465719991125,0.3317247245026255,0.033928703498261964,108168.0,1450.0,1338.0,0.6746953308523675,0.32767443749492325,0.4856628207000633,24434.213445751055,10000.0
0.1,0.02,7,0.9068627450980392,0.02380128910548656,0.6717264025278027,0.2985657197732412,0.029707877698956043,96843.0,1428.0,1295.0,0.6642004657547477,0.30013467041819974,0.4518736223365173,23905.08348564171,10000.0
0.1,0.05,6,0.9227586206896552,0.06585580689293277,0.6343465719991125,0.2929517047555654,0.07270172324532209,108168.0,1450.0,1338.0,0.6746953308523675,0.32767443749492325,0.4856628207000633,26923.67428444642,10000.0
0.1,0.05,7,0.9068627450980392,0.05580883508882251,0.6717264025278027,0.26462418553741623,0.06364941193478103,96843.0,1428.0,1295.0,0.6642004657547477,0.30013467041819974,0.4518736223365173,26040.39527895666,10000.0
0.15,0.01,6,0.8793103448275862,0.016004797691111152,0.721923304489313,0.25825567635529917,0.019821019155387917,108168.0,1450.0,1275.0,0.6188862619194493,0.24130568481149262,0.3899031205880921,21986.44700835737,10000.0
0.15,0.01,7,0.8634453781512605,0.013037782319341823,0.7513088194293857,0.23124025484547153,0.017450925725142757,96843.0,1428.0,1233.0,0.609536779175724,0.22129235504893827,0.3630500449016246,23381.14267422529,10000.0
0.15,0.02,6,0.8793103448275862,0.028832999119173898,0.721923304489313,0.24414799201242512,0.033928703498261964,108168.0,1450.0,1275.0,0.6188862619194493,0.24130568481149262,0.3899031205880921,22828.840322461358,10000.0
0.15,0.02,7,0.8634453781512605,0.02380128910548656,0.7513088194293857,0.21898330287165826,0.029707877698956043,96843.0,1428.0,1233.0,0.609536779175724,0.22129235504893827,0.3630500449016246,24073.9134475388,10000.0
0.15,0.05,6,0.8793103448275862,0.06585580689293277,0.721923304489313,0.205374972265365,0.07270172324532209,108168.0,1450.0,1275.0,0.6188862619194493,0.24130568481149262,0.3899031205880921,25318.30116115672,10000.0
0.15,0.05,7,0.8634453781512605,0.05580883508882251,0.7513088194293857,0.18504176863583324,0.06364941193478103,96843.0,1428.0,1233.0,0.609536779175724,0.22129235504893827,0.3630500449016246,26209.225240853753,10000.0
0.2,0.01,6,0.8413793103448276,0.016004797691111152,0.7749889061459951,0.20519007469861697,0.019821019155387917,108168.0,1450.0,1220.0,0.5758563759628151,0.18973740093064276,0.3294873667299547,22382.127801198134,10000.0
0.2,0.01,7,0.8214285714285714,0.013037782319341823,0.7993556581270717,0.1831934161477856,0.017450925725142757,96843.0,1428.0,1173.0,0.5740431399985075,0.17471081932520502,0.3043513756224998,24375.019361234165,10000.0
0.2,0.02,6,0.8413793103448276,0.028832999119173898,0.7749889061459951,0.19108239035574293,0.033928703498261964,108168.0,1450.0,1220.0,0.5758563759628151,0.18973740093064276,0.3294873667299547,23224.521115302123,10000.0
0.2,0.02,7,0.8214285714285714,0.02380128910548656,0.7993556581270717,0.17093646417397232,0.029707877698956043,96843.0,1428.0,1173.0,0.5740431399985075,0.17471081932520502,0.3043513756224998,25067.79013454767,10000.0
0.2,0.05,6,0.8413793103448276,0.06585580689293277,0.7749889061459951,0.1523093706086828,0.07270172324532209,108168.0,1450.0,1220.0,0.5758563759628151,0.18973740093064276,0.3294873667299547,25713.98195399749,10000.0
0.2,0.05,7,0.8214285714285714,0.05580883508882251,0.7993556581270717,0.1369949299381473,0.06364941193478103,96843.0,1428.0,1173.0,0.5740431399985075,0.17471081932520502,0.3043513756224998,27203.101927862623,10000.0
0.25,0.01,6,0.7937931034482759,0.016004797691111152,0.821407440278086,0.15877154056652615,0.019821019155387917,108168.0,1450.0,1151.0,0.5394852001676157,0.1462107058727967,0.27101893773428753,23851.601212928035,10000.0
0.25,0.01,7,0.7738095238095238,0.013037782319341823,0.8422911310058548,0.1402579432690024,0.017450925725142757,96843.0,1428.0,1105.0,0.5443689257495409,0.1340812351201212,0.2463058208833374,26542.44498828,10000.0
0.25,0.02,6,0.7937931034482759,0.028832999119173898,0.821407440278086,0.1446638562236521,0.033928703498261964,108168.0,1450.0,1151.0,0.5394852001676157,0.1462107058727967,0.27101893773428753,24693.994527032024,10000.0
0.25,0.02,7,0.7738095238095238,0.02380128910548656,0.8422911310058548,0.12800099129518913,0.029707877698956043,96843.0,1428.0,1105.0,0.5443689257495409,0.1340812351201212,0.2463058208833374,27235.215761593507,10000.0
0.25,0.05,6,0.7937931034482759,0.06585580689293277,0.821407440278086,0.10589083647659196,0.07270172324532209,108168.0,1450.0,1151.0,0.5394852001676157,0.1462107058727967,0.27101893773428753,27183.45536572739,10000.0
